num_vehicles,num_buoys,num_nodes,fixed_customers,load_customers,load_demands,a_ratio,b_ratio,gamma_ratio,obj_lambda,train_time_secs,train_time_human,evaluate_time_secs,evaluate_time_human,mean_reward,best_cost,best_routes,best_travel_cost,best_expected_reward,best_fig_path
1,10,50,True,True,False,0.1,0.7,0.2,0.7,1964.468242,0:32:44.468242,59.686101,0:00:59.686101,-39.64652478814125,0.40632444620132446,"[[0, 19, 3, 28, 48, 21, 34, 25, 27, 44, 0]]",9.019621849060059,-8.613297462463379,results/figs\best_1755168592.png
1,10,50,True,True,False,0.6,0.3,0.1,0.1,3114.390603,0:51:54.390603,85.450203,0:01:25.450203,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755171792.png
1,10,50,True,True,False,0.6,0.3,0.1,0.5,3419.559427,0:56:59.559427,61.697678,0:01:01.697678,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755175274.png
1,10,50,True,True,False,0.6,0.3,0.1,0.7,1947.175724,0:32:27.175724,60.353652,0:01:00.353652,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755177281.png
1,10,50,True,False,True,0.1,0.1,0.8,0.1,2573.292122,0:42:53.292122,88.384567,0:01:28.384567,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755179943.png
1,10,50,True,False,True,0.1,0.1,0.8,0.5,2630.517549,0:43:50.517549,60.359794,0:01:00.359794,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755182634.png
1,10,50,True,False,True,0.1,0.1,0.8,0.7,1840.719669,0:30:40.719669,58.996207,0:00:58.996207,-33.76211474597454,-27.31160044670105,"[[0, 4, 18, 35, 1, 39, 12, 36, 21, 17, 0]]",11.453699111938477,-38.76530075073242,results/figs\best_1755184534.png
1,10,50,True,False,True,0.1,0.7,0.2,0.1,1856.440757,0:30:56.440757,59.396952,0:00:59.396952,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755186450.png
1,10,50,True,False,True,0.1,0.7,0.2,0.5,1867.895171,0:31:07.895171,61.077883,0:01:01.077883,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755188379.png
1,10,50,True,False,True,0.1,0.7,0.2,0.7,1875.820851,0:31:15.820851,58.745467,0:00:58.745467,-12.213857463002205,-24.059222102165222,"[[0, 31, 42, 18, 40, 22, 11, 32, 3, 29, 0]]",10.847827911376953,-34.907047271728516,results/figs\best_1755190314.png
1,10,50,True,False,True,0.6,0.3,0.1,0.1,2190.82659,0:36:30.826590,71.172562,0:01:11.172562,-61.02609163761139,23.711356043815613,"[[0, 17, 31, 35, 32, 29, 11, 25, 39, 18, 0]]",55.88105392456055,-32.169700622558594,results/figs\best_1755192576.png
1,10,50,True,False,True,0.6,0.3,0.1,0.5,3686.157827,1:01:26.157827,83.351993,0:01:23.351993,-61.02609163761139,23.711356043815613,"[[0, 17, 31, 35, 32, 29, 11, 25, 39, 18, 0]]",55.88105392456055,-32.169700622558594,results/figs\best_1755196346.png
1,10,50,True,False,True,0.6,0.3,0.1,0.7,3414.282026,0:56:54.282026,86.56761,0:01:26.567610,-61.02609163761139,23.711356043815613,"[[0, 17, 31, 35, 32, 29, 11, 25, 39, 18, 0]]",55.88105392456055,-32.169700622558594,results/figs\best_1755199848.png
1,10,50,True,False,False,0.1,0.1,0.8,0.1,2879.979566,0:47:59.979566,62.274035,0:01:02.274035,-58.18705045282841,-19.13851308822632,"[[0, 35, 11, 9, 41, 39, 37, 23, 13, 38, 0]]",21.20783233642578,-40.346343994140625,results/figs\best_1755202790.png
1,10,50,True,False,False,0.1,0.1,0.8,0.5,3335.35804,0:55:35.358040,94.028083,0:01:34.028083,-58.18705045282841,-19.13851308822632,"[[0, 35, 11, 9, 41, 39, 37, 23, 13, 38, 0]]",21.20783233642578,-40.346343994140625,results/figs\best_1755206220.png
1,10,50,True,False,False,0.1,0.1,0.8,0.7,4247.544641,1:10:47.544641,96.723009,0:01:36.723009,-58.18705045282841,-19.13851308822632,"[[0, 35, 11, 9, 41, 39, 37, 23, 13, 38, 0]]",21.20783233642578,-40.346343994140625,results/figs\best_1755210564.png
1,10,50,True,False,False,0.1,0.7,0.2,0.1,3953.338711,1:05:53.338711,87.738336,0:01:27.738336,-39.64652478814125,0.40632444620132446,"[[0, 19, 3, 28, 48, 21, 34, 25, 27, 44, 0]]",9.019621849060059,-8.613297462463379,results/figs\best_1755214606.png
1,10,50,True,False,False,0.1,0.7,0.2,0.5,3879.639618,1:04:39.639618,100.980245,0:01:40.980245,-39.64652478814125,0.40632444620132446,"[[0, 19, 3, 28, 48, 21, 34, 25, 27, 44, 0]]",9.019621849060059,-8.613297462463379,results/figs\best_1755218587.png
1,10,50,True,False,False,0.1,0.7,0.2,0.7,4098.842241,1:08:18.842241,95.408609,0:01:35.408609,-39.64652478814125,0.40632444620132446,"[[0, 19, 3, 28, 48, 21, 34, 25, 27, 44, 0]]",9.019621849060059,-8.613297462463379,results/figs\best_1755222781.png
1,10,50,True,False,False,0.6,0.3,0.1,0.1,4010.552937,1:06:50.552937,99.133725,0:01:39.133725,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755226891.png
1,10,50,True,False,False,0.6,0.3,0.1,0.5,4139.982155,1:08:59.982155,84.496885,0:01:24.496885,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755231116.png
1,10,50,True,False,False,0.6,0.3,0.1,0.7,4416.6094,1:13:36.609400,102.393638,0:01:42.393638,-44.093594852685925,10.045317888259888,"[[0, 31, 38, 39, 28, 45, 40, 12, 18, 8, 0]]",37.058441162109375,-27.01312255859375,results/figs\best_1755235636.png
1,15,20,True,True,True,0.1,0.1,0.8,0.1,556.608112,0:09:16.608112,17.796929,0:00:17.796929,-88.88338929355145,-6.123711585998535,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0, 7, 0, 14, 0]]",34.773338317871094,-40.89705276489258,results/figs\best_1755236211.png
1,15,20,True,True,True,0.1,0.1,0.8,0.5,401.873551,0:06:41.873551,12.854792,0:00:12.854792,-88.88338929355145,-6.123711585998535,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0, 7, 0, 14, 0]]",34.773338317871094,-40.89705276489258,results/figs\best_1755236626.png
1,15,20,True,True,True,0.1,0.1,0.8,0.7,303.552215,0:05:03.552215,12.501678,0:00:12.501678,-88.88338929355145,-6.123711585998535,"[[0, 19, 4, 15, 16, 11, 8, 2, 1, 17, 0, 7, 0, 14, 0]]",34.773338317871094,-40.89705276489258,results/figs\best_1755236942.png
1,15,20,True,True,True,0.1,0.7,0.2,0.1,300.164972,0:05:00.164972,13.125205,0:00:13.125205,-25.934221501350404,-22.46074402332306,"[[0, 16, 13, 4, 2, 19, 1, 10, 18, 6, 7, 8, 9, 14, 12, 0]]",30.072307586669922,-52.533050537109375,results/figs\best_1755237255.png
1,15,20,True,True,True,0.1,0.1,0.8,0.1,982.821611,0:16:22.821611,42.763657,0:00:42.763657,-67.1151961350441,-9.492644309997559,"[[0, 16, 7, 8, 14, 6, 17, 10, 0, 4, 0, 13, 0, 2, 0]]",21.108806610107422,-30.60144805908203,results/figs\best_2025_08_16_11_09_48.png
1,15,20,True,True,True,0.1,0.1,0.8,0.5,980.07245,0:16:20.072450,47.633564,0:00:47.633564,-67.1151961350441,-9.492644309997559,"[[0, 16, 7, 8, 14, 6, 17, 10, 0, 4, 0, 13, 0, 2, 0]]",21.108806610107422,-30.60144805908203,results/figs\best_2025_08_16_11_26_56.png
1,15,20,True,True,True,0.1,0.1,0.8,0.7,1104.462608,0:18:24.462608,48.267167,0:00:48.267167,-67.1151961350441,-9.492644309997559,"[[0, 16, 7, 8, 14, 6, 17, 10, 0, 4, 0, 13, 0, 2, 0]]",21.108806610107422,-30.60144805908203,results/figs\best_2025_08_16_11_46_09.png
1,15,20,True,True,True,0.1,0.7,0.2,0.1,856.069103,0:14:16.069103,38.835249,0:00:38.835249,-26.13187995970249,-29.766251742839813,"[[0, 6, 4, 15, 18, 8, 19, 2, 5, 13, 9, 17, 1, 14, 16, 0]]",20.07889747619629,-49.84514617919922,results/figs\best_2025_08_16_12_01_04.png
1,15,20,True,True,True,0.1,0.7,0.2,0.5,805.828968,0:13:25.828968,37.963247,0:00:37.963247,-26.13187995970249,-29.766251742839813,"[[0, 6, 4, 15, 18, 8, 19, 2, 5, 13, 9, 17, 1, 14, 16, 0]]",20.07889747619629,-49.84514617919922,results/figs\best_2025_08_16_12_15_09.png
